Unnamed: 0,product_name,selling_price,actual_price,average_rating,rating_and_rivew,ram,SSD,processor,operating_system,exchange_offer,display_size,battery_life
724,Lenovo Ideapad Flex 5 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) Ideapad Flex 5 14LT05 UA 2 ...,"₹57,200","₹75,490",4.4,313 Ratings & 42 Reviews,8 GB DDR4 RAM,256 GB SSD,Intel Core i3 Processor (11th Gen),64 bit Windows 11 Operating System,Bank Offer,35.56 cm (14 inch) Touchscreen Display,7 hours
725,Lenovo Ideapad Flex 5 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14itl05 2 in 1 Laptop,"₹56,999","₹85,000",3.5,11 Ratings & 2 Reviews,8 GB DDR4 RAM,512 GB SSD,Intel Core i3 Processor (11th Gen),64 bit Windows 10 Operating System,Bank Offer,35.56 cm (14 inch) Touchscreen Display,8 hours
726,DELL INSPIRON 15 3000 Core i5 8th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10/2 GB Graphics) 3583 Lapto...,"₹56,992","₹61,890",4.8,6 Ratings & 3 Reviews,8 GB DDR4 RAM,1 TB HDD|256 GB SSD,Intel Core i5 Processor (8th Gen),64 bit Windows 10 Operating System,Bank Offer,39.62 cm (15.6 inch) Display,6 hours
727,HP Ryzen 7 Octa Core 5700U - (8 GB/512 GB SSD/Windows 10 Home) 14s-fq1083AU Thin and Light Laptop,"₹56,990","₹73,625",4.4,72 Ratings & 7 Reviews,8 GB DDR4 RAM,512 GB SSD,AMD Ryzen 7 Octa Core Processor,64 bit Windows 10 Operating System,Bank Offer,35.56 cm (14 inch) Display,6 hours
728,HP Pavilion Ryzen 5 Hexa Core - (8 GB/512 GB SSD/Windows 11 Home) 14-ec0036AU Thin and Light Laptop,"₹56,990","₹70,234",4.7,11 Ratings & 1 Reviews,8 GB DDR4 RAM,512 GB SSD,AMD Ryzen 5 Hexa Core Processor,64 bit Windows 11 Operating System,"Upto ₹18,100 Off on Exchange",35.56 cm (14 inch) Display,6 hours
729,ASUS ExpertBook P1 Core i5 10th Gen - (8 GB/1 TB HDD/Windows 10 Pro) ExpertBook P1 P1440FA Thin and Li...,"₹56,990","₹70,990",0.0,0,8 GB DDR4 RAM,,Intel Core i5 Processor (10th Gen),64 bit Windows 10 Operating System,Bank Offer,35.56 cm (14 inch) Display,6 hours
730,Lenovo Ideapad 330s Core i5 8th Gen - (4 GB/1 TB HDD/Windows 10 Home/4 GB Graphics) 330S-15IKB Thin an...,"₹56,990","₹62,594",4.0,21 Ratings & 5 Reviews,4 GB DDR4 RAM,,Intel Core i5 Processor (8th Gen),64 bit Windows 10 Operating System,"Upto ₹18,100 Off on Exchange",39.62 cm (15.6 inch) Display,4 hours
731,ASUS VivoBook K15 OLED (2022) Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) KM513UA-L51...,"₹56,990","₹80,990",4.5,139 Ratings & 21 Reviews,16 GB DDR4 RAM,512 GB SSD,AMD Ryzen 5 Hexa Core Processor,64 bit Windows 11 Operating System,"Upto ₹18,100 Off on Exchange",39.62 cm (15.6 inch) Display,5 hours
732,Lenovo Thinkpad Ryzen 5 Hexa Core 5600U - (8 GB/512 GB SSD/DOS) E14 AMD Gen3 Thin and Light Laptop,"₹56,990","₹78,400",4.4,30 Ratings & 5 Reviews,8 GB DDR4 RAM,512 GB SSD,AMD Ryzen 5 Hexa Core Processor,64 bit DOS Operating System,"Upto ₹18,100 Off on Exchange",35.56 cm (14 inch) Display,8 hours
733,MSI Core i7 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) Modern 14 B10MW-659IN Thin and Light Laptop,"₹56,990","₹78,990",4.2,18 Ratings & 0 Reviews,8 GB DDR4 RAM,512 GB SSD,Intel Core i7 Processor (10th Gen),64 bit Windows 10 Operating System,"Upto ₹18,100 Off on Exchange",35.56 cm (14 inch) Display,5 hours
734,Lenovo Ideapad S340 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) 81VV ideapad S340 -1...,"₹56,949","₹74,790",4.2,"1,359 Ratings & 136 Reviews",8 GB DDR4 RAM,1 TB HDD|256 GB SSD,Intel Core i5 Processor (10th Gen),64 bit Windows 10 Operating System,Bank Offer,35.56 cm (14 inch) Display,6 hours
735,DELL Inspiron Core i5 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) INSPIRON 3511 Thin and Lig...,"₹56,890","₹72,234",4.2,42 Ratings & 7 Reviews,8 GB DDR4 RAM,1 TB HDD|256 GB SSD,Intel Core i5 Processor (11th Gen),64 bit Windows 11 Operating System,Bank Offer,39.62 cm (15.6 inch) Display,5 hours
736,Lenovo Core i5 11th Gen - (4 GB/512 GB SSD/Windows 10) 82H700J7IN Laptop,"₹56,890","₹72,690",0.0,0,4 GB DDR4 RAM,512 GB SSD,Intel Core i5 Processor (11th Gen),Windows 10 Operating System,Bank Offer,35.56 cm (14 inch) Display,6 hours
737,DELL Inspiron Core i5 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) INSPIRON 3511 Thin and Light Laptop,"₹56,790","₹71,578",3.8,6 Ratings & 0 Reviews,8 GB DDR4 RAM,256 GB SSD,Intel Core i5 Processor (11th Gen),64 bit Windows 11 Operating System,"Upto ₹18,100 Off on Exchange",39.62 cm (15.6 Inch) Display,4 hours
